E:\dataset\GID数据集\train\img\3780.tif,E:\dataset\GID数据集\train\label\3780.tif
E:\dataset\GID数据集\train\img\20813.tif,E:\dataset\GID数据集\train\label\20813.tif
E:\dataset\GID数据集\train\img\23058.tif,E:\dataset\GID数据集\train\label\23058.tif
E:\dataset\GID数据集\train\img\15075.tif,E:\dataset\GID数据集\train\label\15075.tif
E:\dataset\GID数据集\train\img\21281.tif,E:\dataset\GID数据集\train\label\21281.tif
E:\dataset\GID数据集\train\img\14141.tif,E:\dataset\GID数据集\train\label\14141.tif
E:\dataset\GID数据集\train\img\6675.tif,E:\dataset\GID数据集\train\label\6675.tif
E:\dataset\GID数据集\train\img\5521.tif,E:\dataset\GID数据集\train\label\5521.tif
E:\dataset\GID数据集\train\img\8613.tif,E:\dataset\GID数据集\train\label\8613.tif
E:\dataset\GID数据集\train\img\24304.tif,E:\dataset\GID数据集\train\label\24304.tif
E:\dataset\GID数据集\train\img\4745.tif,E:\dataset\GID数据集\train\label\4745.tif
E:\dataset\GID数据集\train\img\14579.tif,E:\dataset\GID数据集\train\label\14579.tif
E:\dataset\GID数据集\train\img\6872.tif,E:\dataset\GID数据集\train\label\6872.tif
E:\dataset\GID数据集\train\img\2444.tif,E:\dataset\GID数据集\train\label\2444.tif
E:\dataset\GID数据集\train\img\14987.tif,E:\dataset\GID数据集\train\label\14987.tif
E:\dataset\GID数据集\train\img\5292.tif,E:\dataset\GID数据集\train\label\5292.tif
E:\dataset\GID数据集\train\img\17167.tif,E:\dataset\GID数据集\train\label\17167.tif
E:\dataset\GID数据集\train\img\9416.tif,E:\dataset\GID数据集\train\label\9416.tif
E:\dataset\GID数据集\train\img\24702.tif,E:\dataset\GID数据集\train\label\24702.tif
E:\dataset\GID数据集\train\img\12121.tif,E:\dataset\GID数据集\train\label\12121.tif
E:\dataset\GID数据集\train\img\23777.tif,E:\dataset\GID数据集\train\label\23777.tif
E:\dataset\GID数据集\train\img\12614.tif,E:\dataset\GID数据集\train\label\12614.tif
E:\dataset\GID数据集\train\img\23712.tif,E:\dataset\GID数据集\train\label\23712.tif
E:\dataset\GID数据集\train\img\19168.tif,E:\dataset\GID数据集\train\label\19168.tif
E:\dataset\GID数据集\train\img\23034.tif,E:\dataset\GID数据集\train\label\23034.tif
E:\dataset\GID数据集\train\img\23937.tif,E:\dataset\GID数据集\train\label\23937.tif
E:\dataset\GID数据集\train\img\12640.tif,E:\dataset\GID数据集\train\label\12640.tif
E:\dataset\GID数据集\train\img\16774.tif,E:\dataset\GID数据集\train\label\16774.tif
E:\dataset\GID数据集\train\img\23622.tif,E:\dataset\GID数据集\train\label\23622.tif
E:\dataset\GID数据集\train\img\23959.tif,E:\dataset\GID数据集\train\label\23959.tif
E:\dataset\GID数据集\train\img\15814.tif,E:\dataset\GID数据集\train\label\15814.tif
E:\dataset\GID数据集\train\img\16187.tif,E:\dataset\GID数据集\train\label\16187.tif
E:\dataset\GID数据集\train\img\7950.tif,E:\dataset\GID数据集\train\label\7950.tif
E:\dataset\GID数据集\train\img\7389.tif,E:\dataset\GID数据集\train\label\7389.tif
E:\dataset\GID数据集\train\img\10901.tif,E:\dataset\GID数据集\train\label\10901.tif
E:\dataset\GID数据集\train\img\7568.tif,E:\dataset\GID数据集\train\label\7568.tif
E:\dataset\GID数据集\train\img\600.tif,E:\dataset\GID数据集\train\label\600.tif
E:\dataset\GID数据集\train\img\10441.tif,E:\dataset\GID数据集\train\label\10441.tif
E:\dataset\GID数据集\train\img\21706.tif,E:\dataset\GID数据集\train\label\21706.tif
E:\dataset\GID数据集\train\img\8064.tif,E:\dataset\GID数据集\train\label\8064.tif
E:\dataset\GID数据集\train\img\13833.tif,E:\dataset\GID数据集\train\label\13833.tif
E:\dataset\GID数据集\train\img\17694.tif,E:\dataset\GID数据集\train\label\17694.tif
E:\dataset\GID数据集\train\img\22211.tif,E:\dataset\GID数据集\train\label\22211.tif
E:\dataset\GID数据集\train\img\13354.tif,E:\dataset\GID数据集\train\label\13354.tif
E:\dataset\GID数据集\train\img\12724.tif,E:\dataset\GID数据集\train\label\12724.tif
E:\dataset\GID数据集\train\img\21533.tif,E:\dataset\GID数据集\train\label\21533.tif
